Location,Year,Incident
Abandoned/condemned structure,2013,0
Abandoned/condemned structure,2014,2
Abandoned/condemned structure,2015,2
Abandoned/condemned structure,2016,2
Abandoned/condemned structure,2017,3
Abandoned/condemned structure,2018,3
Abandoned/condemned structure,2019,4
Air/bus/train terminal,2013,31
Air/bus/train terminal,2014,39
Air/bus/train terminal,2015,57
Air/bus/train terminal,2016,60
Air/bus/train terminal,2017,84
Air/bus/train terminal,2018,67
Air/bus/train terminal,2019,69
Arena/stadium/fairgrounds/coliseum,2013,1
Arena/stadium/fairgrounds/coliseum,2014,1
Arena/stadium/fairgrounds/coliseum,2015,4
Arena/stadium/fairgrounds/coliseum,2016,4
Arena/stadium/fairgrounds/coliseum,2017,3
Arena/stadium/fairgrounds/coliseum,2018,2
Arena/stadium/fairgrounds/coliseum,2019,3
Auto dealership new/used,2013,2
Auto dealership new/used,2014,1
Auto dealership new/used,2015,1
Auto dealership new/used,2016,6
Auto dealership new/used,2017,6
Auto dealership new/used,2018,5
Auto dealership new/used,2019,3
Bank/savings and loan,2013,4
Bank/savings and loan,2014,11
Bank/savings and loan,2015,7
Bank/savings and loan,2016,11
Bank/savings and loan,2017,16
Bank/savings and loan,2018,14
Bank/savings and loan,2019,16
Bar/nightclub,2013,53
Bar/nightclub,2014,48
Bar/nightclub,2015,55
Bar/nightclub,2016,49
Bar/nightclub,2017,52
Bar/nightclub,2018,53
Bar/nightclub,2019,66
Camp/campground,2013,1
Camp/campground,2014,1
Camp/campground,2015,1
Camp/campground,2016,2
Camp/campground,2017,2
Camp/campground,2018,4
Camp/campground,2019,6
Church/synagogue/temple/mosque,2013,13
Church/synagogue/temple/mosque,2014,21
Church/synagogue/temple/mosque,2015,45
Church/synagogue/temple/mosque,2016,36
Church/synagogue/temple/mosque,2017,44
Church/synagogue/temple/mosque,2018,29
Church/synagogue/temple/mosque,2019,34
Commercial office building,2013,62
Commercial office building,2014,28
Commercial office building,2015,56
Commercial office building,2016,63
Commercial office building,2017,90
Commercial office building,2018,97
Commercial office building,2019,92
Community center,2013,0
Community center,2014,1
Community center,2015,5
Community center,2016,5
Community center,2017,7
Community center,2018,8
Community center,2019,8
Construction site,2013,5
Construction site,2014,4
Construction site,2015,9
Construction site,2016,12
Construction site,2017,19
Construction site,2018,13
Construction site,2019,14
Convenience store,2013,33
Convenience store,2014,35
Convenience store,2015,67
Convenience store,2016,57
Convenience store,2017,71
Convenience store,2018,100
Convenience store,2019,82
Daycare facility,2013,1
Daycare facility,2014,1
Daycare facility,2015,1
Daycare facility,2016,2
Daycare facility,2017,4
Daycare facility,2018,2
Daycare facility,2019,3
Department/discount store,2013,29
Department/discount store,2014,36
Department/discount store,2015,48
Department/discount store,2016,45
Department/discount store,2017,63
Department/discount store,2018,63
Department/discount store,2019,67
Farm facility,2013,1
Farm facility,2014,1
Farm facility,2015,3
Farm facility,2016,0
Farm facility,2017,3
Farm facility,2018,3
Farm facility,2019,2
Field/woods,2013,31
Field/woods,2014,20
Field/woods,2015,21
Field/woods,2016,19
Field/woods,2017,29
